Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,0.1111111111111111,0.1111111111111111,0.0,0.0,0.05263157894736842,0.0,0.6666666666666666
3,0.05263157894736842,0.3333333333333333,0.5384615384615384,0.17647058823529413,0.6666666666666666,0.0,0.5384615384615384
4,0.05263157894736842,0.3333333333333333,0.5384615384615384,0.25,0.6666666666666666,0.05263157894736842,0.3333333333333333
5,0.05263157894736842,0.3333333333333333,0.5384615384615384,0.25,0.6666666666666666,0.3333333333333333,0.3333333333333333
6,0.05263157894736842,0.3333333333333333,0.5384615384615384,0.25,0.6666666666666666,0.42857142857142855,0.3333333333333333
7,0.05263157894736842,0.3333333333333333,0.5384615384615384,0.25,0.6666666666666666,0.42857142857142855,0.3333333333333333
