Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,0.17647058823529413,0.25,0.05263157894736842,0.0,0.1111111111111111,0.0,0.6666666666666666
3,0.25,0.5384615384615384,0.5384615384615384,0.25,0.8181818181818182,0.0,0.8181818181818182
4,0.25,0.5384615384615384,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.5384615384615384,0.5384615384615384
5,0.25,0.5384615384615384,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5384615384615384
6,0.25,0.5384615384615384,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5384615384615384
7,0.25,0.5384615384615384,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.5384615384615384
