Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,0.30434782608695654,0.25,0.5384615384615384,0.2,0.5384615384615384,0.01694915254237288,0.5789473684210527
3,0.30434782608695654,0.2765957446808511,0.5789473684210527,0.4634146341463415,0.7647058823529411,0.5789473684210527,0.5384615384615384
4,0.30434782608695654,0.3333333333333333,0.5789473684210527,0.5,0.7647058823529411,0.7647058823529411,0.5
5,0.30434782608695654,0.3333333333333333,0.5,0.5,0.7647058823529411,0.8181818181818182,0.5384615384615384
6,0.30434782608695654,0.3333333333333333,0.5,0.5,0.7647058823529411,0.8181818181818182,0.5384615384615384
