Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,0.2903225806451613,0.14285714285714285,0.3333333333333333,0.05263157894736842,0.2903225806451613,0.0,0.6666666666666666
3,0.14285714285714285,0.5384615384615384,0.7391304347826086,0.6666666666666666,0.7391304347826086,0.02564102564102564,0.6
4,0.14285714285714285,0.5384615384615384,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7391304347826086,0.48148148148148145
5,0.14285714285714285,0.5384615384615384,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7391304347826086,0.48148148148148145
