Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,0.7647058823529411,0.3333333333333333,0.1111111111111111,0.034482758620689655,0.17647058823529413,0.0,0.7647058823529411
3,0.7647058823529411,0.4634146341463415,0.8181818181818182,0.2765957446808511,0.7647058823529411,0.15384615384615385,0.6216216216216216
4,0.7647058823529411,0.4634146341463415,0.875,0.6666666666666666,0.8181818181818182,0.6666666666666666,0.6216216216216216
5,0.7647058823529411,0.4634146341463415,0.875,0.7142857142857143,0.8181818181818182,0.7647058823529411,0.6216216216216216
6,0.7647058823529411,0.4634146341463415,0.875,0.7142857142857143,0.8181818181818182,0.7647058823529411,0.6216216216216216
7,0.7647058823529411,0.4634146341463415,0.875,0.7142857142857143,0.8181818181818182,0.7647058823529411,0.6216216216216216
