Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,0.5384615384615384,0.25,0.05263157894736842,0.02564102564102564,0.1111111111111111,0.0,0.7391304347826086
3,0.5384615384615384,0.6,0.8181818181818182,0.25,0.9047619047619048,0.05263157894736842,0.7391304347826086
4,0.5384615384615384,0.6,0.8181818181818182,0.7391304347826086,1.0,0.7391304347826086,0.7391304347826086
5,0.5384615384615384,0.6,0.8181818181818182,0.7391304347826086,1.0,0.8181818181818182,0.7391304347826086
6,0.5384615384615384,0.6,0.8181818181818182,0.7391304347826086,1.0,0.8181818181818182,0.7391304347826086
7,0.5384615384615384,0.6,0.8181818181818182,0.7391304347826086,1.0,0.8181818181818182,0.7391304347826086
