Node_ID,VoteRank
509,227
188,226
628,225
433,224
782,223
1149,222
1094,221
546,220
272,219
938,218
1187,217
485,216
29,215
452,214
319,213
1398,212
1333,211
1278,210
298,209
361,208
1249,207
965,206
1014,205
1212,204
1202,203
436,202
825,201
315,200
95,199
1360,198
320,197
227,196
1288,195
883,194
618,193
1168,192
892,191
300,190
147,189
978,188
489,187
499,186
716,185
1039,184
1041,183
428,182
397,181
739,180
15,179
63,178
1157,177
490,176
824,175
842,174
857,173
1327,172
94,171
307,170
1469,169
1147,168
1178,167
989,166
1504,165
1109,164
282,163
725,162
89,161
806,160
27,159
1033,158
1406,157
1242,156
285,155
1104,154
776,153
906,152
969,151
1355,150
448,149
1435,148
38,147
1541,146
718,145
873,144
256,143
1299,142
1336,141
683,140
1494,139
395,138
812,137
1500,136
1402,135
1232,134
417,133
1479,132
1342,131
508,130
983,129
605,128
312,127
2,126
403,125
61,124
862,123
146,122
1078,121
380,120
1201,119
843,118
1329,117
1159,116
752,115
702,114
1272,113
616,112
420,111
1174,110
552,109
1043,108
268,107
313,106
623,105
1220,104
956,103
528,102
532,101
534,100
909,99
645,98
1154,97
1458,96
999,95
80,94
516,93
1518,92
1532,91
114,90
222,89
918,88
1466,87
741,86
847,85
1016,84
129,83
109,82
103,81
210,80
1560,79
629,78
661,77
826,76
905,75
1348,74
1582,73
1173,72
16,71
1513,70
1153,69
1252,68
1292,67
1021,66
99,65
163,64
1542,63
201,62
244,61
764,60
556,59
423,58
698,57
1019,56
1565,55
1140,54
502,53
503,52
574,51
1276,50
807,49
867,48
1088,47
1371,46
1048,45
1176,44
1624,43
1306,42
372,41
1034,40
478,39
578,38
240,37
1062,36
1205,35
966,34
1192,33
1481,32
1229,31
182,30
79,29
591,28
196,27
1208,26
457,25
306,24
595,23
441,22
1065,21
481,20
1000,19
1307,18
1359,17
1641,16
1018,15
161,14
215,13
223,12
345,11
670,10
568,9
355,8
1415,7
898,6
402,5
1137,4
636,3
1507,2
1196,1
1587,0
680,0
1347,0
1325,0
1076,0
790,0
781,0
1627,0
724,0
1457,0
773,0
1186,0
772,0
762,0
759,0
845,0
1321,0
329,0
808,0
1204,0
84,0
1619,0
945,0
1262,0
830,0
1275,0
1064,0
13,0
1203,0
1623,0
832,0
814,0
1625,0
1281,0
324,0
813,0
1079,0
1626,0
711,0
728,0
620,0
634,0
663,0
1423,0
1464,0
1492,0
362,0
1498,0
384,0
1478,0
1103,0
619,0
1125,0
640,0
837,0
1434,0
792,0
612,0
1480,0
1443,0
649,0
1590,0
1628,0
681,0
1032,0
946,0
695,0
1366,0
1583,0
672,0
804,0
1346,0
659,0
1387,0
666,0
1362,0
1354,0
1432,0
740,0
4,0
1424,0
1255,0
853,0
1089,0
332,0
1603,0
876,0
1418,0
1437,0
382,0
1602,0
471,0
1017,0
1601,0
705,0
416,0
323,0
1194,0
1338,0
1013,0
1002,0
1600,0
992,0
1042,0
195,0
865,0
1459,0
159,0
703,0
253,0
32,0
1605,0
1606,0
696,0
1604,0
274,0
1488,0
1607,0
1608,0
1609,0
1112,0
1080,0
1114,0
224,0
1142,0
1074,0
1444,0
979,0
1214,0
1191,0
1193,0
1592,0
321,0
112,0
1167,0
745,0
1248,0
859,0
1599,0
626,0
1335,0
473,0
1369,0
1616,0
1226,0
295,0
1591,0
1593,0
926,0
948,0
1615,0
732,0
92,0
91,0
977,0
877,0
1613,0
974,0
1357,0
1598,0
1132,0
919,0
1597,0
1596,0
348,0
1311,0
975,0
803,0
1217,0
1439,0
1578,0
217,0
1544,0
1197,0
199,0
193,0
192,0
491,0
150,0
1361,0
1420,0
1022,0
495,0
221,0
173,0
167,0
166,0
584,0
165,0
1537,0
162,0
1298,0
1536,0
1331,0
154,0
1200,0
220,0
1550,0
273,0
284,0
1302,0
1549,0
281,0
278,0
1180,0
571,0
1131,0
1111,0
1417,0
1548,0
267,0
261,0
1547,0
554,0
254,0
1546,0
242,0
777,0
238,0
231,0
228,0
1545,0
264,0
23,0
141,0
1535,0
409,0
1524,0
263,0
58,0
51,0
47,0
795,0
1516,0
483,0
1515,0
36,0
1350,0
1061,0
1106,0
1514,0
74,0
301,0
1239,0
1512,0
1511,0
652,0
6,0
104,0
1274,0
1525,0
66,0
1533,0
241,0
135,0
1414,0
1160,0
120,0
1344,0
368,0
1505,0
712,0
96,0
1495,0
1072,0
1531,0
90,0
1287,0
410,0
1530,0
88,0
1528,0
1527,0
863,0
426,0
297,0
1551,0
581,0
1567,0
506,0
327,0
177,0
496,0
1493,0
265,0
1102,0
1566,0
931,0
488,0
392,0
1564,0
1563,0
1225,0
1562,0
1561,0
1271,0
633,0
484,0
676,0
472,0
464,0
463,0
1407,0
617,0
160,0
1427,0
1577,0
562,0
1574,0
550,0
123,0
653,0
539,0
1571,0
1570,0
957,0
671,0
524,0
1568,0
1128,0
1392,0
986,0
658,0
1508,0
334,0
394,0
1206,0
1463,0
1289,0
294,0
791,0
1559,0
1182,0
387,0
339,0
379,0
364,0
1468,0
1165,0
341,0
340,0
1282,0
678,0
1213,0
1059,0
1552,0
317,0
314,0
903,0
858,0
631,0
1273,0
226,0
305,0
310,0
849,0
396,0
868,0
580,0
106,0
1413,0
1416,0
1383,0
861,0
1397,0
1388,0
769,0
1558,0
432,0
427,0
422,0
694,0
542,0
134,0
1556,0
407,0
406,0
897,0
1555,0
399,0
1060,0
1368,0
1642,0
