Distance,K-Shell,Betweenness,Closeness,PageRank,Eigenvector,Katz,VoteRank
2,1.0,0.3333333333333333,0.05263157894736842,0.0,0.1111111111111111,0.0,0.6666666666666666
3,1.0,0.8181818181818182,0.8181818181818182,0.25,0.8181818181818182,0.0,0.6666666666666666
4,1.0,0.8181818181818182,1.0,1.0,1.0,0.5384615384615384,1.0
5,1.0,1.0,0.8181818181818182,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
